CourseId,Branch,ParentCourse,Rating
Thermodynamics,Mechanical,B.Tech,4.61
Robotics,Mechanical,B.Tech,4.61
CAD/CAM,Mechanical,B.Tech,4.45
Thermodynamics,Mechanical,B.Tech,4.66
Robotics,Mechanical,B.Tech,4.61
CAD/CAM,Mechanical,B.Tech,4.54
Thermodynamics,Mechanical,B.Tech,4.75
Robotics,Mechanical,B.Tech,4.59
CAD/CAM,Mechanical,B.Tech,4.54
Thermodynamics,Mechanical,B.Tech,4.63
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.48
Thermodynamics,Mechanical,B.Tech,4.63
Robotics,Mechanical,B.Tech,4.67
CAD/CAM,Mechanical,B.Tech,4.52
Thermodynamics,Mechanical,B.Tech,4.74
Robotics,Mechanical,B.Tech,4.55
CAD/CAM,Mechanical,B.Tech,4.57
Thermodynamics,Mechanical,B.Tech,4.66
Robotics,Mechanical,B.Tech,4.52
CAD/CAM,Mechanical,B.Tech,4.43
Thermodynamics,Mechanical,B.Tech,4.64
Robotics,Mechanical,B.Tech,4.59
CAD/CAM,Mechanical,B.Tech,4.54
Thermodynamics,Mechanical,B.Tech,4.66
Robotics,Mechanical,B.Tech,4.69
CAD/CAM,Mechanical,B.Tech,4.49
Thermodynamics,Mechanical,B.Tech,4.64
Robotics,Mechanical,B.Tech,4.66
CAD/CAM,Mechanical,B.Tech,4.59
Thermodynamics,Mechanical,B.Tech,4.68
Robotics,Mechanical,B.Tech,4.56
CAD/CAM,Mechanical,B.Tech,4.51
Thermodynamics,Mechanical,B.Tech,4.61
Robotics,Mechanical,B.Tech,4.62
CAD/CAM,Mechanical,B.Tech,4.43
Thermodynamics,Mechanical,B.Tech,4.61
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.6
Thermodynamics,Mechanical,B.Tech,4.73
Robotics,Mechanical,B.Tech,4.56
CAD/CAM,Mechanical,B.Tech,4.51
Thermodynamics,Mechanical,B.Tech,4.65
Robotics,Mechanical,B.Tech,4.61
CAD/CAM,Mechanical,B.Tech,4.45
Thermodynamics,Mechanical,B.Tech,4.64
Robotics,Mechanical,B.Tech,4.56
CAD/CAM,Mechanical,B.Tech,4.4
Thermodynamics,Mechanical,B.Tech,4.68
Robotics,Mechanical,B.Tech,4.56
CAD/CAM,Mechanical,B.Tech,4.55
Thermodynamics,Mechanical,B.Tech,4.75
Robotics,Mechanical,B.Tech,4.55
CAD/CAM,Mechanical,B.Tech,4.42
Thermodynamics,Mechanical,B.Tech,4.78
Robotics,Mechanical,B.Tech,4.62
CAD/CAM,Mechanical,B.Tech,4.45
Thermodynamics,Mechanical,B.Tech,4.79
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.54
Thermodynamics,Mechanical,B.Tech,4.71
Robotics,Mechanical,B.Tech,4.5
CAD/CAM,Mechanical,B.Tech,4.51
Thermodynamics,Mechanical,B.Tech,4.62
Robotics,Mechanical,B.Tech,4.68
CAD/CAM,Mechanical,B.Tech,4.56
Thermodynamics,Mechanical,B.Tech,4.76
Robotics,Mechanical,B.Tech,4.57
CAD/CAM,Mechanical,B.Tech,4.4
Thermodynamics,Mechanical,B.Tech,4.79
Robotics,Mechanical,B.Tech,4.67
CAD/CAM,Mechanical,B.Tech,4.59
Thermodynamics,Mechanical,B.Tech,4.74
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.51
Thermodynamics,Mechanical,B.Tech,4.67
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.56
Thermodynamics,Mechanical,B.Tech,4.74
Robotics,Mechanical,B.Tech,4.57
CAD/CAM,Mechanical,B.Tech,4.57
Thermodynamics,Mechanical,B.Tech,4.66
Robotics,Mechanical,B.Tech,4.68
CAD/CAM,Mechanical,B.Tech,4.58
Thermodynamics,Mechanical,B.Tech,4.73
Robotics,Mechanical,B.Tech,4.67
CAD/CAM,Mechanical,B.Tech,4.47
Thermodynamics,Mechanical,B.Tech,4.65
Robotics,Mechanical,B.Tech,4.63
CAD/CAM,Mechanical,B.Tech,4.42
Thermodynamics,Mechanical,B.Tech,4.78
Robotics,Mechanical,B.Tech,4.58
CAD/CAM,Mechanical,B.Tech,4.4
Thermodynamics,Mechanical,B.Tech,4.73
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.48
Thermodynamics,Mechanical,B.Tech,4.69
Robotics,Mechanical,B.Tech,4.65
CAD/CAM,Mechanical,B.Tech,4.41
Thermodynamics,Mechanical,B.Tech,4.62
Robotics,Mechanical,B.Tech,4.59
CAD/CAM,Mechanical,B.Tech,4.47
Thermodynamics,Mechanical,B.Tech,4.78
Robotics,Mechanical,B.Tech,4.66
CAD/CAM,Mechanical,B.Tech,4.58
Thermodynamics,Mechanical,B.Tech,4.6
Robotics,Mechanical,B.Tech,4.53
CAD/CAM,Mechanical,B.Tech,4.4
Thermodynamics,Mechanical,B.Tech,4.63
Robotics,Mechanical,B.Tech,4.7
CAD/CAM,Mechanical,B.Tech,4.45
Thermodynamics,Mechanical,B.Tech,4.61
Robotics,Mechanical,B.Tech,4.67
CAD/CAM,Mechanical,B.Tech,4.55
Thermodynamics,Mechanical,B.Tech,4.75
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.57
Thermodynamics,Mechanical,B.Tech,4.75
Robotics,Mechanical,B.Tech,4.65
CAD/CAM,Mechanical,B.Tech,4.41
Thermodynamics,Mechanical,B.Tech,4.78
Robotics,Mechanical,B.Tech,4.57
CAD/CAM,Mechanical,B.Tech,4.6
Thermodynamics,Mechanical,B.Tech,4.77
Robotics,Mechanical,B.Tech,4.67
CAD/CAM,Mechanical,B.Tech,4.45
Thermodynamics,Mechanical,B.Tech,4.62
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.59
Thermodynamics,Mechanical,B.Tech,4.64
Robotics,Mechanical,B.Tech,4.64
CAD/CAM,Mechanical,B.Tech,4.42
Thermodynamics,Mechanical,B.Tech,4.71
Robotics,Mechanical,B.Tech,4.63
CAD/CAM,Mechanical,B.Tech,4.5
Thermodynamics,Mechanical,B.Tech,4.77
Robotics,Mechanical,B.Tech,4.51
CAD/CAM,Mechanical,B.Tech,4.46
Structural Analysis,Civil,B.Tech,4.7
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.63
Urban Planning,Civil,B.Tech,4.53
Environmental Engineering,Civil,B.Tech,4.45
Structural Analysis,Civil,B.Tech,4.78
Urban Planning,Civil,B.Tech,4.56
Environmental Engineering,Civil,B.Tech,4.56
Structural Analysis,Civil,B.Tech,4.72
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.4
Structural Analysis,Civil,B.Tech,4.77
Urban Planning,Civil,B.Tech,4.62
Environmental Engineering,Civil,B.Tech,4.59
Structural Analysis,Civil,B.Tech,4.68
Urban Planning,Civil,B.Tech,4.65
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.77
Urban Planning,Civil,B.Tech,4.56
Environmental Engineering,Civil,B.Tech,4.54
Structural Analysis,Civil,B.Tech,4.61
Urban Planning,Civil,B.Tech,4.51
Environmental Engineering,Civil,B.Tech,4.53
Structural Analysis,Civil,B.Tech,4.68
Urban Planning,Civil,B.Tech,4.59
Environmental Engineering,Civil,B.Tech,4.5
Structural Analysis,Civil,B.Tech,4.68
Urban Planning,Civil,B.Tech,4.56
Environmental Engineering,Civil,B.Tech,4.41
Structural Analysis,Civil,B.Tech,4.6
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.59
Structural Analysis,Civil,B.Tech,4.78
Urban Planning,Civil,B.Tech,4.55
Environmental Engineering,Civil,B.Tech,4.42
Structural Analysis,Civil,B.Tech,4.72
Urban Planning,Civil,B.Tech,4.67
Environmental Engineering,Civil,B.Tech,4.48
Structural Analysis,Civil,B.Tech,4.64
Urban Planning,Civil,B.Tech,4.5
Environmental Engineering,Civil,B.Tech,4.45
Structural Analysis,Civil,B.Tech,4.73
Urban Planning,Civil,B.Tech,4.58
Environmental Engineering,Civil,B.Tech,4.52
Structural Analysis,Civil,B.Tech,4.63
Urban Planning,Civil,B.Tech,4.61
Environmental Engineering,Civil,B.Tech,4.46
Structural Analysis,Civil,B.Tech,4.63
Urban Planning,Civil,B.Tech,4.7
Environmental Engineering,Civil,B.Tech,4.42
Structural Analysis,Civil,B.Tech,4.7
Urban Planning,Civil,B.Tech,4.57
Environmental Engineering,Civil,B.Tech,4.45
Structural Analysis,Civil,B.Tech,4.76
Urban Planning,Civil,B.Tech,4.65
Environmental Engineering,Civil,B.Tech,4.47
Structural Analysis,Civil,B.Tech,4.75
Urban Planning,Civil,B.Tech,4.51
Environmental Engineering,Civil,B.Tech,4.57
Structural Analysis,Civil,B.Tech,4.65
Urban Planning,Civil,B.Tech,4.69
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.76
Urban Planning,Civil,B.Tech,4.58
Environmental Engineering,Civil,B.Tech,4.58
Structural Analysis,Civil,B.Tech,4.66
Urban Planning,Civil,B.Tech,4.5
Environmental Engineering,Civil,B.Tech,4.41
Structural Analysis,Civil,B.Tech,4.72
Urban Planning,Civil,B.Tech,4.51
Environmental Engineering,Civil,B.Tech,4.4
Structural Analysis,Civil,B.Tech,4.79
Urban Planning,Civil,B.Tech,4.59
Environmental Engineering,Civil,B.Tech,4.58
Structural Analysis,Civil,B.Tech,4.79
Urban Planning,Civil,B.Tech,4.68
Environmental Engineering,Civil,B.Tech,4.48
Structural Analysis,Civil,B.Tech,4.75
Urban Planning,Civil,B.Tech,4.59
Environmental Engineering,Civil,B.Tech,4.55
Structural Analysis,Civil,B.Tech,4.72
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.56
Structural Analysis,Civil,B.Tech,4.8
Urban Planning,Civil,B.Tech,4.55
Environmental Engineering,Civil,B.Tech,4.41
Structural Analysis,Civil,B.Tech,4.61
Urban Planning,Civil,B.Tech,4.59
Environmental Engineering,Civil,B.Tech,4.41
Structural Analysis,Civil,B.Tech,4.75
Urban Planning,Civil,B.Tech,4.58
Environmental Engineering,Civil,B.Tech,4.53
Structural Analysis,Civil,B.Tech,4.62
Urban Planning,Civil,B.Tech,4.6
Environmental Engineering,Civil,B.Tech,4.47
Structural Analysis,Civil,B.Tech,4.72
Urban Planning,Civil,B.Tech,4.69
Environmental Engineering,Civil,B.Tech,4.52
Structural Analysis,Civil,B.Tech,4.71
Urban Planning,Civil,B.Tech,4.65
Environmental Engineering,Civil,B.Tech,4.48
Structural Analysis,Civil,B.Tech,4.66
Urban Planning,Civil,B.Tech,4.68
Environmental Engineering,Civil,B.Tech,4.48
Structural Analysis,Civil,B.Tech,4.66
Urban Planning,Civil,B.Tech,4.64
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.63
Urban Planning,Civil,B.Tech,4.62
Environmental Engineering,Civil,B.Tech,4.42
Structural Analysis,Civil,B.Tech,4.67
Urban Planning,Civil,B.Tech,4.51
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.73
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.57
Structural Analysis,Civil,B.Tech,4.62
Urban Planning,Civil,B.Tech,4.53
Environmental Engineering,Civil,B.Tech,4.47
Structural Analysis,Civil,B.Tech,4.75
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.42
Structural Analysis,Civil,B.Tech,4.77
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.58
Structural Analysis,Civil,B.Tech,4.75
Urban Planning,Civil,B.Tech,4.69
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.78
Urban Planning,Civil,B.Tech,4.52
Environmental Engineering,Civil,B.Tech,4.54
Structural Analysis,Civil,B.Tech,4.65
Urban Planning,Civil,B.Tech,4.61
Environmental Engineering,Civil,B.Tech,4.43
Structural Analysis,Civil,B.Tech,4.79
Urban Planning,Civil,B.Tech,4.61
Environmental Engineering,Civil,B.Tech,4.49
Structural Analysis,Civil,B.Tech,4.74
Urban Planning,Civil,B.Tech,4.66
Environmental Engineering,Civil,B.Tech,4.56
Structural Analysis,Civil,B.Tech,4.77
Urban Planning,Civil,B.Tech,4.66
Environmental Engineering,Civil,B.Tech,4.53
Structural Analysis,Civil,B.Tech,4.7
Urban Planning,Civil,B.Tech,4.63
Environmental Engineering,Civil,B.Tech,4.53
Structural Analysis,Civil,B.Tech,4.75
Urban Planning,Civil,B.Tech,4.6
Environmental Engineering,Civil,B.Tech,4.51
Power Systems,Electrical,B.Tech,4.74
Electrical Machines,Electrical,B.Tech,4.66
Renewable Energy,Electrical,B.Tech,4.49
Power Systems,Electrical,B.Tech,4.71
Electrical Machines,Electrical,B.Tech,4.55
Renewable Energy,Electrical,B.Tech,4.46
Power Systems,Electrical,B.Tech,4.68
Electrical Machines,Electrical,B.Tech,4.63
Renewable Energy,Electrical,B.Tech,4.51
Power Systems,Electrical,B.Tech,4.73
Electrical Machines,Electrical,B.Tech,4.53
Renewable Energy,Electrical,B.Tech,4.55
Power Systems,Electrical,B.Tech,4.77
Electrical Machines,Electrical,B.Tech,4.6
Renewable Energy,Electrical,B.Tech,4.5
Power Systems,Electrical,B.Tech,4.65
Electrical Machines,Electrical,B.Tech,4.52
Renewable Energy,Electrical,B.Tech,4.48
Power Systems,Electrical,B.Tech,4.7
Electrical Machines,Electrical,B.Tech,4.51
Renewable Energy,Electrical,B.Tech,4.56
Power Systems,Electrical,B.Tech,4.71
Electrical Machines,Electrical,B.Tech,4.62
Renewable Energy,Electrical,B.Tech,4.44
Power Systems,Electrical,B.Tech,4.79
Electrical Machines,Electrical,B.Tech,4.53
Renewable Energy,Electrical,B.Tech,4.45
Power Systems,Electrical,B.Tech,4.76
Electrical Machines,Electrical,B.Tech,4.61
Renewable Energy,Electrical,B.Tech,4.44
Power Systems,Electrical,B.Tech,4.77
Electrical Machines,Electrical,B.Tech,4.61
Renewable Energy,Electrical,B.Tech,4.48
Power Systems,Electrical,B.Tech,4.79
